ID,SEASON,TEAM_ID_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
41,2020,1610612750,0.395,0.75,0.371,17.0,51.0,1610612763,0.426,0.696,0.275,30.0,49.0,0
42,2020,1610612744,0.43799999999999994,0.743,0.275,25.0,39.0,1610612743,0.43,0.72,0.28,20.0,48.0,1
43,2020,1610612762,0.5,0.741,0.415,21.0,45.0,1610612756,0.433,0.81,0.345,22.0,48.0,1
44,2020,1610612737,0.37,0.8290000000000001,0.313,20.0,61.0,1610612753,0.457,0.69,0.28600000000000003,26.0,49.0,0
45,2020,1610612765,0.325,0.88,0.256,17.0,41.0,1610612752,0.45799999999999996,0.474,0.217,23.0,54.0,0
46,2020,1610612741,0.413,0.73,0.324,20.0,56.0,1610612745,0.434,0.7140000000000001,0.462,25.0,47.0,0
47,2020,1610612747,0.35700000000000004,0.8,0.318,15.0,46.0,1610612746,0.35700000000000004,0.647,0.278,15.0,55.0,1
48,2020,1610612757,0.511,0.727,0.5,22.0,55.0,1610612758,0.368,0.727,0.32,24.0,44.0,1
49,2019,1610612748,0.44299999999999995,0.591,0.35700000000000004,25.0,41.0,1610612747,0.483,0.643,0.314,23.0,46.0,0
50,2019,1610612747,0.46299999999999997,0.857,0.368,21.0,41.0,1610612748,0.45799999999999996,0.955,0.424,26.0,35.0,0
51,2019,1610612748,0.42700000000000005,0.8079999999999999,0.344,18.0,39.0,1610612747,0.44299999999999995,0.857,0.359,25.0,42.0,0
52,2019,1610612748,0.513,0.9129999999999999,0.353,25.0,37.0,1610612747,0.43,0.759,0.33299999999999996,23.0,43.0,1
53,2019,1610612747,0.505,0.588,0.34,32.0,44.0,1610612748,0.507,0.912,0.40700000000000003,29.0,37.0,1
54,2019,1610612747,0.452,0.9259999999999999,0.395,26.0,54.0,1610612748,0.42700000000000005,0.7859999999999999,0.314,23.0,36.0,1
55,2019,1610612748,0.563,0.846,0.48100000000000004,30.0,40.0,1610612738,0.434,0.8,0.326,26.0,42.0,1
56,2019,1610612747,0.545,0.828,0.375,24.0,43.0,1610612743,0.42200000000000004,0.885,0.267,23.0,36.0,1
57,2019,1610612738,0.452,0.862,0.316,29.0,50.0,1610612748,0.45299999999999996,0.7929999999999999,0.19399999999999998,27.0,38.0,1
58,2019,1610612743,0.506,0.87,0.35700000000000004,22.0,33.0,1610612747,0.475,0.8,0.33299999999999996,23.0,41.0,0
59,2019,1610612748,0.429,0.889,0.27,20.0,40.0,1610612738,0.47600000000000003,0.81,0.35,28.0,46.0,1
60,2019,1610612743,0.5479999999999999,0.7929999999999999,0.379,26.0,44.0,1610612747,0.518,0.636,0.231,27.0,25.0,1
61,2019,1610612747,0.446,0.9470000000000001,0.361,23.0,44.0,1610612743,0.473,0.758,0.33299999999999996,22.0,31.0,1
62,2019,1610612748,0.38799999999999996,0.8240000000000001,0.273,21.0,42.0,1610612738,0.48200000000000004,0.867,0.34600000000000003,27.0,50.0,0
63,2019,1610612747,0.53,0.73,0.423,33.0,34.0,1610612743,0.494,0.821,0.34600000000000003,23.0,37.0,1
64,2019,1610612738,0.5,0.792,0.35700000000000004,19.0,41.0,1610612748,0.444,0.857,0.326,27.0,38.0,0
65,2019,1610612738,0.44299999999999995,0.9129999999999999,0.35700000000000004,24.0,37.0,1610612748,0.47100000000000003,0.75,0.444,32.0,41.0,0
66,2019,1610612746,0.37799999999999995,0.75,0.257,21.0,37.0,1610612743,0.494,0.938,0.35100000000000003,22.0,53.0,0
67,2019,1610612743,0.541,0.7040000000000001,0.48,26.0,41.0,1610612746,0.41,0.889,0.37,20.0,37.0,1
68,2019,1610612747,0.527,0.759,0.514,25.0,50.0,1610612745,0.371,0.708,0.265,18.0,31.0,1
69,2019,1610612746,0.42,0.882,0.381,22.0,41.0,1610612743,0.48100000000000004,0.84,0.444,20.0,44.0,0
70,2019,1610612761,0.413,0.895,0.28600000000000003,17.0,44.0,1610612738,0.40700000000000003,0.565,0.237,19.0,44.0,0
71,2019,1610612745,0.431,0.769,0.424,24.0,26.0,1610612747,0.489,0.938,0.3,30.0,52.0,0
72,2019,1610612738,0.44,0.833,0.413,32.0,58.0,1610612761,0.436,0.72,0.40399999999999997,22.0,46.0,0
73,2019,1610612743,0.397,0.846,0.33299999999999996,19.0,38.0,1610612746,0.418,0.733,0.28600000000000003,19.0,41.0,0
74,2019,1610612749,0.363,0.731,0.273,20.0,41.0,1610612748,0.479,0.917,0.355,21.0,48.0,0
75,2019,1610612745,0.469,1.0,0.4,23.0,30.0,1610612747,0.551,0.696,0.33299999999999996,25.0,43.0,0
76,2019,1610612761,0.38799999999999996,0.846,0.3,19.0,36.0,1610612738,0.494,0.889,0.324,23.0,45.0,0
